"Data Source","World Development Indicators",

"Last Updated Date","2020-07-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Egypt, Arab Rep.","EGY","Women Business and the Law Index Score (scale 1-100)","SG.LAW.INDX","","","","","","","","","","","29.4","29.4","29.4","29.4","29.4","29.4","29.4","29.4","29.4","29.4","29.4","29.4","29.4","29.4","29.4","29.4","30","30","30","30","30","32.5","32.5","32.5","32.5","32.5","32.5","32.5","32.5","32.5","32.5","35.6","35.6","38.8","38.8","38.8","38.8","38.8","38.8","38.8","38.8","38.8","38.8","38.8","38.8","45","45","45","45","45",
"Euro area","EMU","Women Business and the Law Index Score (scale 1-100)","SG.LAW.INDX","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Eritrea","ERI","Women Business and the Law Index Score (scale 1-100)","SG.LAW.INDX","","","","","","","","","","","50.6","50.6","50.6","50.6","50.6","50.6","50.6","50.6","50.6","50.6","50.6","50.6","50.6","50.6","50.6","50.6","50.6","50.6","50.6","50.6","50.6","50.6","66.3","66.3","66.3","66.3","66.3","66.3","66.3","66.3","66.3","66.3","69.4","69.4","69.4","69.4","69.4","69.4","69.4","69.4","69.4","69.4","69.4","69.4","69.4","69.4","69.4","69.4","69.4","69.4",
"Spain","ESP","Women Business and the Law Index Score (scale 1-100)","SG.LAW.INDX","","","","","","","","","","","33.8","33.8","33.8","33.8","33.8","51.9","54.4","54.4","57.5","57.5","60.6","60.6","73.8","73.8","73.8","73.8","73.8","73.8","73.8","73.8","73.8","73.8","73.8","73.8","76.9","79.4","94.4","94.4","94.4","94.4","94.4","94.4","94.4","94.4","94.4","94.4","94.4","97.5","97.5","97.5","97.5","97.5","97.5","97.5","97.5","97.5","97.5","97.5","97.5","97.5",
"Estonia","EST","Women Business and the Law Index Score (scale 1-100)","SG.LAW.INDX","","","","","","","","","","","53.1","50","52.5","55","55","55","55","55","55","55","55","55","55","55","55","55","55","55","55","55","55","55","63.8","63.8","63.8","63.8","63.8","63.8","63.8","63.8","63.8","66.3","69.4","69.4","81.9","81.9","81.9","81.9","81.9","88.1","91.3","91.3","91.3","91.3","91.3","91.3","97.5","97.5","97.5","97.5",
"Ethiopia","ETH","Women Business and the Law Index Score (scale 1-100)","SG.LAW.INDX","","","","","","","","","","","44.4","44.4","44.4","44.4","44.4","44.4","44.4","44.4","44.4","44.4","44.4","44.4","44.4","44.4","44.4","44.4","44.4","44.4","44.4","44.4","44.4","44.4","44.4","50","50","50","50","50","50","50","50","63.1","63.1","63.1","63.1","65.6","65.6","65.6","65.6","65.6","65.6","65.6","71.9","71.9","71.9","71.9","71.9","71.9","71.9","71.9",
"European Union","EUU","Women Business and the Law Index Score (scale 1-100)","SG.LAW.INDX","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Fragile and conflict affected situations","FCS","Women Business and the Law Index Score (scale 1-100)","SG.LAW.INDX","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Finland","FIN","Women Business and the Law Index Score (scale 1-100)","SG.LAW.INDX","","","","","","","","","","","65.6","65.6","65.6","65.6","65.6","68.1","68.1","68.1","73.1","73.1","73.1","73.1","73.1","73.1","73.1","73.1","76.3","79.4","79.4","82.5","82.5","82.5","82.5","82.5","82.5","82.5","82.5","82.5","82.5","85","85","85","85","85","88.1","94.4","94.4","94.4","94.4","97.5","97.5","97.5","97.5","97.5","97.5","97.5","97.5","97.5","97.5","97.5",
"Fiji","FJI","Women Business and the Law Index Score (scale 1-100)","SG.LAW.INDX","","","","","","","","","","","51.3","51.3","51.3","51.3","51.3","51.3","51.3","51.3","51.3","51.3","51.3","51.3","51.3","51.3","51.3","51.3","51.3","51.3","51.3","51.3","51.3","51.3","51.3","51.3","51.3","51.3","51.3","51.3","51.3","57.5","57.5","57.5","57.5","57.5","60","60","60","60","71.9","71.9","74.4","74.4","74.4","74.4","74.4","74.4","74.4","74.4","74.4","79.4",
"France","FRA","Women Business and the Law Index Score (scale 1-100)","SG.LAW.INDX","","","","","","","","","","","53.8","56.3","56.3","59.4","59.4","59.4","62.5","62.5","62.5","62.5","62.5","62.5","62.5","65.6","65.6","65.6","73.8","73.8","76.9","76.9","76.9","76.9","76.9","86.3","86.3","86.3","86.3","86.3","86.3","86.3","86.3","89.4","89.4","89.4","91.9","91.9","94.4","97.5","97.5","97.5","97.5","97.5","97.5","97.5","97.5","100","100","100","100","100",
"Faroe Islands","FRO","Women Business and the Law Index Score (scale 1-100)","SG.LAW.INDX","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Micronesia, Fed. Sts.","FSM","Women Business and the Law Index Score (scale 1-100)","SG.LAW.INDX","","","","","","","","","","","61.3","61.3","61.3","61.3","61.3","61.3","61.3","61.3","61.3","61.3","61.3","61.3","61.3","61.3","61.3","61.3","61.3","61.3","61.3","61.3","61.3","61.3","61.3","61.3","61.3","61.3","61.3","61.3","61.3","61.3","61.3","61.3","61.3","61.3","61.3","61.3","61.3","61.3","61.3","61.3","61.3","61.3","61.3","61.3","61.3","61.3","61.3","61.3","61.3","61.3",
"Gabon","GAB","Women Business and the Law Index Score (scale 1-100)","SG.LAW.INDX","","","","","","","","","","","43.1","43.1","43.1","43.1","43.1","43.1","43.1","43.1","43.1","43.1","43.1","43.1","45.6","45.6","45.6","45.6","45.6","45.6","45.6","45.6","45.6","45.6","45.6","45.6","45.6","51.3","51.3","51.3","51.3","51.3","51.3","51.3","51.3","51.3","51.3","51.3","51.3","51.3","51.3","51.3","51.3","51.3","51.3","51.3","51.3","51.3","51.3","57.5","57.5","57.5",
"United Kingdom","GBR","Women Business and the Law Index Score (scale 1-100)","SG.LAW.INDX","","","","","","","","","","","51.9","51.9","51.9","56.9","60","63.1","69.4","69.4","69.4","69.4","69.4","72.5","72.5","72.5","72.5","72.5","72.5","75","75","78.1","78.1","78.1","78.1","78.1","78.1","78.1","81.3","83.8","83.8","83.8","86.3","86.3","86.3","88.8","88.8","88.8","91.9","91.9","91.9","91.9","95","95","95","95","95","97.5","97.5","97.5","97.5","97.5",
"Georgia","GEO","Women Business and the Law Index Score (scale 1-100)","SG.LAW.INDX","","","","","","","","","","","53.1","52.5","55","55","58.8","58.8","58.8","58.8","58.8","58.8","58.8","58.8","58.8","58.8","58.8","58.8","58.8","58.8","58.8","58.8","58.8","58.8","58.8","58.8","58.8","58.8","58.8","58.8","58.8","58.8","58.8","58.8","58.8","58.8","61.9","61.9","64.4","66.9","66.9","66.9","70","70","70","73.1","79.4","79.4","79.4","79.4","79.4","85.6",
"Ghana","GHA","Women Business and the Law Index Score (scale 1-100)","SG.LAW.INDX","","","","","","","","","","","46.3","46.3","49.4","49.4","49.4","49.4","49.4","49.4","49.4","49.4","49.4","49.4","49.4","49.4","49.4","49.4","54.4","54.4","54.4","54.4","54.4","57.5","57.5","57.5","57.5","57.5","57.5","57.5","57.5","57.5","57.5","57.5","57.5","57.5","72.5","72.5","72.5","75","75","75","75","75","75","75","75","75","75","75","75","75",
"Gibraltar","GIB","Women Business and the Law Index Score (scale 1-100)","SG.LAW.INDX","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guinea","GIN","Women Business and the Law Index Score (scale 1-100)","SG.LAW.INDX","","","","","","","","","","","41.3","41.3","41.3","41.3","41.3","41.3","41.3","41.3","41.3","41.3","41.3","41.3","41.3","41.3","41.3","41.3","41.3","41.3","46.9","46.9","46.9","46.9","46.9","46.9","46.9","46.9","46.9","46.9","46.9","46.9","46.9","46.9","46.9","46.9","46.9","46.9","46.9","46.9","46.9","46.9","46.9","46.9","46.9","46.9","61.9","61.9","61.9","65","65","65",
"Gambia, The","GMB","Women Business and the Law Index Score (scale 1-100)","SG.LAW.INDX","","","","","","","","","","","49.4","49.4","49.4","49.4","49.4","49.4","49.4","49.4","55.6","55.6","55.6","55.6","55.6","55.6","55.6","55.6","55.6","58.8","58.8","58.8","58.8","58.8","58.8","58.8","58.8","58.8","58.8","58.8","58.8","58.8","58.8","58.8","58.8","58.8","58.8","58.8","58.8","58.8","61.3","61.3","61.3","71.9","71.9","71.9","74.4","74.4","74.4","74.4","74.4","74.4",
"Guinea-Bissau","GNB","Women Business and the Law Index Score (scale 1-100)","SG.LAW.INDX","","","","","","","","","","","30.6","30.6","30.6","30.6","30.6","30.6","30.6","30.6","30.6","30.6","30.6","30.6","30.6","30.6","30.6","30.6","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","42.5","42.5","42.5","42.5","42.5","42.5",
"Equatorial Guinea","GNQ","Women Business and the Law Index Score (scale 1-100)","SG.LAW.INDX","","","","","","","","","","","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","40.6","40.6","40.6","40.6","40.6","40.6","46.3","46.3","46.3","46.3","46.3","46.3","46.3","46.3","46.3","46.3","46.3","46.3","46.3","46.3","46.3","46.3","46.3","46.3","46.3","46.3","46.3","46.3","46.3","51.9","51.9","51.9","51.9","51.9","51.9","51.9",
"Greece","GRC","Women Business and the Law Index Score (scale 1-100)","SG.LAW.INDX","","","","","","","","","","","46.9","46.9","46.9","46.9","46.9","46.9","46.9","46.9","46.9","46.9","46.9","46.9","46.9","61.9","67.5","70.6","70.6","70.6","70.6","70.6","70.6","70.6","70.6","73.1","73.1","73.1","73.1","73.1","73.1","73.1","73.1","73.1","73.1","73.1","73.1","73.1","73.1","85","85","85","88.1","97.5","97.5","97.5","97.5","97.5","97.5","97.5","97.5","97.5",
"Grenada","GRD","Women Business and the Law Index Score (scale 1-100)","SG.LAW.INDX","","","","","","","","","","","45.6","45.6","45.6","50.6","53.8","53.8","53.8","53.8","53.8","53.8","53.8","56.3","56.3","65.6","65.6","65.6","65.6","65.6","65.6","65.6","65.6","65.6","65.6","65.6","65.6","65.6","65.6","65.6","65.6","65.6","75","75","77.5","77.5","77.5","77.5","77.5","77.5","77.5","77.5","77.5","77.5","77.5","77.5","77.5","77.5","77.5","77.5","77.5","80.6",
"Greenland","GRL","Women Business and the Law Index Score (scale 1-100)","SG.LAW.INDX","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guatemala","GTM","Women Business and the Law Index Score (scale 1-100)","SG.LAW.INDX","","","","","","","","","","","54.4","54.4","54.4","54.4","54.4","54.4","54.4","54.4","54.4","54.4","54.4","54.4","54.4","54.4","54.4","54.4","54.4","54.4","54.4","54.4","54.4","54.4","54.4","60","60","60","60","62.5","62.5","62.5","65.6","65.6","65.6","65.6","65.6","65.6","65.6","68.1","70.6","70.6","70.6","70.6","70.6","70.6","70.6","70.6","70.6","70.6","70.6","70.6",
"Guam","GUM","Women Business and the Law Index Score (scale 1-100)","SG.LAW.INDX","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guyana","GUY","Women Business and the Law Index Score (scale 1-100)","SG.LAW.INDX","","","","","","","","","","","60.6","60.6","60.6","60.6","60.6","60.6","60.6","60.6","60.6","60.6","60.6","60.6","60.6","60.6","60.6","60.6","60.6","60.6","60.6","63.8","63.8","66.3","66.3","66.3","66.3","66.3","66.3","71.9","86.9","86.9","86.9","86.9","86.9","86.9","86.9","86.9","86.9","86.9","86.9","86.9","86.9","86.9","86.9","86.9","86.9","86.9","86.9","86.9","86.9","86.9",
"High income","HIC","Women Business and the Law Index Score (scale 1-100)","SG.LAW.INDX","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Hong Kong SAR, China","HKG","Women Business and the Law Index Score (scale 1-100)","SG.LAW.INDX","","","","","","","","","","","62.5","62.5","62.5","71.9","71.9","71.9","71.9","71.9","71.9","71.9","71.9","71.9","71.9","71.9","71.9","71.9","71.9","74.4","74.4","74.4","74.4","74.4","74.4","74.4","74.4","74.4","83.8","86.9","86.9","86.9","86.9","86.9","86.9","86.9","86.9","86.9","86.9","86.9","86.9","86.9","86.9","86.9","86.9","86.9","86.9","89.4","89.4","89.4","89.4","89.4",
"Honduras","HND","Women Business and the Law Index Score (scale 1-100)","SG.LAW.INDX","","","","","","","","","","","48.8","48.8","51.9","51.9","51.9","51.9","51.9","51.9","51.9","51.9","51.9","51.9","51.9","51.9","51.9","54.4","54.4","54.4","54.4","54.4","54.4","54.4","54.4","54.4","54.4","54.4","54.4","63.1","63.1","63.1","66.3","66.3","66.3","66.3","66.3","66.3","66.3","66.3","69.4","69.4","69.4","69.4","69.4","75","75","75","75","75","75","75",
"Heavily indebted poor countries (HIPC)","HPC","Women Business and the Law Index Score (scale 1-100)","SG.LAW.INDX","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Croatia","HRV","Women Business and the Law Index Score (scale 1-100)","SG.LAW.INDX","","","","","","","","","","","58.1","58.1","58.1","58.1","58.1","58.1","58.1","58.1","58.1","58.1","58.1","58.1","58.1","58.1","58.1","58.1","58.1","58.1","58.1","58.1","61.3","61.3","61.3","61.3","61.3","67.5","67.5","67.5","67.5","67.5","67.5","67.5","67.5","67.5","76.3","76.3","76.3","76.3","79.4","84.4","93.8","93.8","93.8","93.8","93.8","93.8","93.8","93.8","93.8","93.8",
"Haiti","HTI","Women Business and the Law Index Score (scale 1-100)","SG.LAW.INDX","","","","","","","","","","","37.5","37.5","37.5","37.5","37.5","37.5","37.5","37.5","37.5","37.5","37.5","37.5","37.5","55","61.3","61.3","61.3","61.3","61.3","61.3","61.3","61.3","61.3","61.3","61.3","61.3","61.3","61.3","61.3","61.3","61.3","61.3","61.3","61.3","61.3","61.3","61.3","61.3","61.3","61.3","61.3","61.3","61.3","61.3","61.3","61.3","61.3","61.3","61.3","61.3",
"Hungary","HUN","Women Business and the Law Index Score (scale 1-100)","SG.LAW.INDX","","","","","","","","","","","66.9","66.9","66.9","66.9","66.9","66.9","66.9","66.9","66.9","66.9","66.9","66.9","66.9","66.9","66.9","66.9","66.9","66.9","66.9","66.9","70","70","69.4","69.4","69.4","69.4","69.4","69.4","69.4","69.4","69.4","69.4","69.4","69.4","75.6","75.6","81.9","81.9","81.9","91.3","93.8","93.8","96.9","96.9","96.9","96.9","96.9","96.9","96.9","96.9",
"IBRD only","IBD","Women Business and the Law Index Score (scale 1-100)","SG.LAW.INDX","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"IDA & IBRD total","IBT","Women Business and the Law Index Score (scale 1-100)","SG.LAW.INDX","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"IDA total","IDA","Women Business and the Law Index Score (scale 1-100)","SG.LAW.INDX","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"IDA blend","IDB","Women Business and the Law Index Score (scale 1-100)","SG.LAW.INDX","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Indonesia","IDN","Women Business and the Law Index Score (scale 1-100)","SG.LAW.INDX","","","","","","","","","","","23.8","23.8","23.8","23.8","44.4","44.4","44.4","50.6","50.6","50.6","50.6","50.6","50.6","50.6","50.6","50.6","50.6","50.6","50.6","50.6","50.6","50.6","50.6","50.6","50.6","50.6","50.6","50.6","53.1","53.1","53.1","53.1","53.1","59.4","61.9","64.4","64.4","64.4","64.4","64.4","64.4","64.4","64.4","64.4","64.4","64.4","64.4","64.4","64.4","64.4",
"IDA only","IDX","Women Business and the Law Index Score (scale 1-100)","SG.LAW.INDX","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Isle of Man","IMN","Women Business and the Law Index Score (scale 1-100)","SG.LAW.INDX","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"India","IND","Women Business and the Law Index Score (scale 1-100)","SG.LAW.INDX","","","","","","","","","","","51.9","51.9","51.9","51.9","51.9","51.9","51.9","51.9","51.9","51.9","51.9","51.9","51.9","51.9","51.9","51.9","51.9","51.9","55","55","55","55","55","55","55","60","60","60","62.5","62.5","62.5","62.5","62.5","62.5","62.5","62.5","62.5","62.5","62.5","62.5","62.5","62.5","62.5","68.8","68.8","68.8","68.8","71.3","74.4","74.4",
"Not classified","INX","Women Business and the Law Index Score (scale 1-100)","SG.LAW.INDX","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Ireland","IRL","Women Business and the Law Index Score (scale 1-100)","SG.LAW.INDX","","","","","","","","","","","55","55","55","55","55","58.1","58.1","60.6","63.8","63.8","63.8","69.4","71.9","71.9","71.9","71.9","71.9","75","75","75","75","75","75","75","78.1","78.1","83.1","85.6","85.6","91.9","95","95","95","95","95","95","95","95","95","95","95","95","95","95","95","95","95","97.5","97.5","97.5",
"Iran, Islamic Rep.","IRN","Women Business and the Law Index Score (scale 1-100)","SG.LAW.INDX","","","","","","","","","","","29.4","29.4","29.4","29.4","29.4","29.4","29.4","29.4","29.4","29.4","29.4","29.4","29.4","29.4","29.4","29.4","29.4","29.4","29.4","29.4","29.4","26.3","26.3","26.3","26.3","26.3","26.3","26.3","26.3","26.3","26.3","26.3","26.3","26.3","26.3","26.3","26.3","26.3","28.8","28.8","28.8","28.8","28.8","28.8","31.3","31.3","31.3","31.3","31.3","31.3",
"Iraq","IRQ","Women Business and the Law Index Score (scale 1-100)","SG.LAW.INDX","","","","","","","","","","","26.9","26.9","26.9","26.9","26.9","26.9","26.9","26.9","26.9","26.9","26.9","26.9","26.9","26.9","26.9","26.9","26.9","26.9","33.1","33.1","33.1","33.1","33.1","33.1","33.1","33.1","33.1","33.1","33.1","33.1","33.1","33.1","33.1","33.1","33.1","33.1","33.1","33.1","33.1","33.1","33.1","33.1","33.1","33.1","33.1","33.1","45","45","45","45",
"Iceland","ISL","Women Business and the Law Index Score (scale 1-100)","SG.LAW.INDX","","","","","","","","","","","66.3","66.3","66.3","66.3","66.3","69.4","72.5","72.5","72.5","72.5","75","75","75","75","75","78.1","78.1","80.6","85.6","85.6","85.6","85.6","85.6","85.6","85.6","85.6","85.6","85.6","88.1","88.1","94.4","94.4","94.4","94.4","94.4","94.4","94.4","94.4","94.4","94.4","94.4","94.4","96.9","96.9","96.9","96.9","100","100","100","100",
"Israel","ISR","Women Business and the Law Index Score (scale 1-100)","SG.LAW.INDX","","","","","","","","","","","57.5","57.5","57.5","57.5","60","60","60","60","60","60","60","60","60","60","60","60","60","60","63.1","63.1","63.1","65.6","65.6","65.6","65.6","65.6","68.8","68.8","75","75","75","75","75","75","71.9","71.9","74.4","74.4","74.4","74.4","74.4","74.4","74.4","74.4","77.5","77.5","77.5","77.5","77.5","77.5",
"Italy","ITA","Women Business and the Law Index Score (scale 1-100)","SG.LAW.INDX","","","","","","","","","","","48.8","51.3","53.8","53.8","53.8","65","65","65","73.8","73.8","73.8","73.8","73.8","73.8","73.8","73.8","73.8","73.8","73.8","73.8","73.8","73.8","73.8","73.8","73.8","73.8","76.9","76.9","76.9","76.9","76.9","80","80","80","80","83.1","89.4","89.4","89.4","89.4","89.4","89.4","89.4","91.9","94.4","94.4","94.4","94.4","97.5","97.5",
"Jamaica","JAM","Women Business and the Law Index Score (scale 1-100)","SG.LAW.INDX","","","","","","","","","","","54.4","54.4","54.4","54.4","54.4","54.4","54.4","54.4","54.4","54.4","56.9","56.9","56.9","56.9","56.9","56.9","56.9","56.9","56.9","56.9","56.9","56.9","56.9","56.9","56.9","56.9","59.4","59.4","59.4","59.4","59.4","59.4","59.4","59.4","59.4","59.4","61.9","61.9","61.9","61.9","61.9","61.9","61.9","61.9","61.9","68.1","68.1","68.1","68.1","68.1",
"Jordan","JOR","Women Business and the Law Index Score (scale 1-100)","SG.LAW.INDX","","","","","","","","","","","20.6","20.6","20.6","20.6","20.6","20.6","20.6","20.6","20.6","20.6","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","26.3","26.3","26.3","26.3","26.3","26.3","26.3","26.3","26.3","26.3","26.3","26.3","26.3","28.8","28.8","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","40.6",
"Japan","JPN","Women Business and the Law Index Score (scale 1-100)","SG.LAW.INDX","","","","","","","","","","","65.6","65.6","65.6","68.8","68.8","68.8","68.8","68.8","68.8","68.8","68.8","68.8","68.8","68.8","68.8","71.3","71.3","71.3","71.3","71.3","71.3","74.4","74.4","74.4","74.4","79.4","79.4","79.4","79.4","79.4","79.4","81.9","81.9","81.9","81.9","81.9","81.9","81.9","81.9","81.9","81.9","81.9","81.9","81.9","81.9","81.9","81.9","81.9","81.9","81.9",
"Kazakhstan","KAZ","Women Business and the Law Index Score (scale 1-100)","SG.LAW.INDX","","","","","","","","","","","53.1","52.5","55","61.3","61.3","61.3","61.3","61.3","61.3","61.3","58.1","58.1","58.1","58.1","58.1","58.1","58.1","58.1","58.1","58.1","58.1","58.1","61.3","61.3","61.3","61.3","61.3","61.3","61.3","61.3","64.4","64.4","64.4","64.4","64.4","64.4","64.4","67.5","70","70","72.5","72.5","72.5","72.5","72.5","72.5","72.5","72.5","72.5","72.5",
"Kenya","KEN","Women Business and the Law Index Score (scale 1-100)","SG.LAW.INDX","","","","","","","","","","","48.8","51.9","51.9","51.9","51.9","51.9","51.9","51.9","51.9","51.9","51.9","51.9","51.9","51.9","51.9","51.9","51.9","51.9","51.9","51.9","51.9","51.9","51.9","51.9","51.9","51.9","51.9","51.9","51.9","51.9","51.9","51.9","51.9","51.9","51.9","51.9","51.9","58.1","75.6","75.6","75.6","75.6","75.6","75.6","78.1","78.1","80.6","80.6","80.6","80.6",
"Kyrgyz Republic","KGZ","Women Business and the Law Index Score (scale 1-100)","SG.LAW.INDX","","","","","","","","","","","53.1","52.5","55","55","55","55","55","55","55","55","55","55","55","55","55","55","55","55","55","55","55","55","55","55","55","55","55","55","61.3","61.3","61.3","61.3","61.3","70","70","76.3","76.3","76.3","76.3","76.9","76.9","76.9","76.9","76.9","76.9","76.9","76.9","76.9","76.9","76.9",
"Cambodia","KHM","Women Business and the Law Index Score (scale 1-100)","SG.LAW.INDX","","","","","","","","","","","51.9","51.9","51.9","51.9","51.9","51.9","51.9","51.9","51.9","51.9","51.9","51.9","51.9","51.9","51.9","51.9","51.9","51.9","51.9","51.9","54.4","54.4","54.4","54.4","56.9","56.9","56.9","63.1","63.1","63.1","63.1","63.1","63.1","63.1","63.1","63.1","65.6","65.6","68.8","68.8","75","75","75","75","75","75","75","75","75","75",
"Kiribati","KIR","Women Business and the Law Index Score (scale 1-100)","SG.LAW.INDX","","","","","","","","","","","48.8","48.8","48.8","48.8","48.8","48.8","48.8","48.8","55","55","55","55","55","55","55","55","55","55","55","55","55","55","55","55","55","55","55","55","55","55","55","55","55","55","55","55","55","55","61.3","61.3","61.3","61.3","61.3","61.3","61.3","63.8","78.8","78.8","78.8","78.8",
"St. Kitts and Nevis","KNA","Women Business and the Law Index Score (scale 1-100)","SG.LAW.INDX","","","","","","","","","","","58.1","58.1","58.1","60.6","60.6","60.6","60.6","60.6","63.8","66.3","66.3","66.3","66.3","66.3","66.3","66.3","66.3","68.8","68.8","68.8","68.8","68.8","68.8","68.8","68.8","68.8","68.8","68.8","68.8","68.8","71.3","71.3","71.3","71.3","71.3","71.3","71.3","71.3","71.3","71.3","71.3","71.3","71.3","71.3","71.3","71.3","71.3","71.3","71.3","71.3",
"Korea, Rep.","KOR","Women Business and the Law Index Score (scale 1-100)","SG.LAW.INDX","","","","","","","","","","","38.1","38.1","38.1","38.1","44.4","44.4","44.4","44.4","44.4","44.4","44.4","44.4","44.4","44.4","44.4","44.4","44.4","44.4","46.9","46.9","57.5","57.5","57.5","57.5","57.5","60","60","63.1","65.6","68.8","68.8","68.8","71.3","71.3","71.3","76.3","79.4","79.4","85","85","85","85","85","85","85","85","85","85","85","85",
"Kuwait","KWT","Women Business and the Law Index Score (scale 1-100)","SG.LAW.INDX","","","","","","","","","","","23.1","23.1","23.1","23.1","23.1","23.1","23.1","29.4","29.4","29.4","29.4","29.4","29.4","29.4","29.4","29.4","29.4","29.4","29.4","29.4","29.4","29.4","29.4","29.4","29.4","29.4","29.4","29.4","29.4","29.4","29.4","29.4","29.4","29.4","29.4","29.4","29.4","29.4","29.4","29.4","32.5","32.5","32.5","32.5","32.5","32.5","32.5","32.5","32.5","32.5",
"Latin America & Caribbean (excluding high income)","LAC","Women Business and the Law Index Score (scale 1-100)","SG.LAW.INDX","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Lao PDR","LAO","Women Business and the Law Index Score (scale 1-100)","SG.LAW.INDX","","","","","","","","","","","34.4","36.9","36.9","36.9","36.9","36.9","40","40","40","40","40","40","40","40","40","40","42.5","42.5","42.5","42.5","42.5","53.1","53.1","53.1","58.8","58.8","58.8","58.8","58.8","58.8","68.1","68.1","68.1","68.1","68.1","70.6","73.8","83.1","83.1","83.1","83.1","83.1","83.1","83.1","88.1","88.1","88.1","88.1","88.1","88.1",
"Lebanon","LBN","Women Business and the Law Index Score (scale 1-100)","SG.LAW.INDX","","","","","","","","","","","44.4","44.4","44.4","44.4","44.4","44.4","44.4","44.4","44.4","44.4","44.4","44.4","44.4","44.4","44.4","44.4","44.4","44.4","44.4","44.4","44.4","44.4","44.4","44.4","44.4","44.4","44.4","44.4","44.4","44.4","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","52.5","52.5","52.5","52.5","52.5",
"Liberia","LBR","Women Business and the Law Index Score (scale 1-100)","SG.LAW.INDX","","","","","","","","","","","43.8","43.8","43.8","63.8","63.8","63.8","63.8","63.8","63.8","63.8","63.8","63.8","63.8","63.8","66.3","66.3","66.3","66.3","66.3","66.3","66.3","66.3","66.3","66.3","66.3","66.3","66.3","66.3","66.3","66.3","66.3","66.3","66.3","66.3","66.3","66.3","66.3","66.3","66.3","66.3","66.3","66.3","66.3","66.3","66.3","66.3","81.3","81.3","83.8","83.8",
"Libya","LBY","Women Business and the Law Index Score (scale 1-100)","SG.LAW.INDX","","","","","","","","","","","36.3","36.3","36.3","36.3","36.3","36.3","36.3","36.3","36.3","36.3","36.3","36.3","36.3","36.3","38.8","38.8","38.8","38.8","38.8","38.8","38.8","38.8","38.8","38.8","38.8","38.8","38.8","38.8","38.8","38.8","38.8","38.8","38.8","38.8","38.8","38.8","38.8","38.8","38.8","38.8","50","50","50","50","50","50","50","50","50","50",
